"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Gambia, The","GMB",193249820,1.30120761831066,1,25,1,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,2,1,1,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,4,4,4,4,2,3,2,2,0,0
"Gambia, The","GMB",143349741,0.225560605806651,1,25,1,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,,,,,2,,,2,2,2,,,,1,2,,1,1,2,1,1,2,1,1,1,2,2,1,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,4,4,4,4,3,2,2,2,0,0
"Gambia, The","GMB",201593788,1.0583136127019,2,58,2,2,1,2,1,1,0,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,2,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,4,1,1,1,2,1,2,2,,,,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,4,2,1,,0,1,1,4,4,4,2,3,1,2,1,0
"Gambia, The","GMB",207230629,0.777770637946123,2,34,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,3,1,,1,1,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",195850130,0.798466947492976,1,18,2,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,3,1,4,1,,1,1,4,4,4,2,4,3,2,2,0,0
"Gambia, The","GMB",200473504,0.288846490713349,1,30,2,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,2,2,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,3,3,2,2,,1,0,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",211096129,0.513696660853838,1,41,1,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,1,2,1,,,,,,,,,,1,2,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,3,2,2,1,,1,1,1,1,4,1,,0,0,4,4,4,2,4,5,1,1,0,0
"Gambia, The","GMB",206514742,0.945514212155521,1,43,1,2,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,1,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",159525157,1.68371493808709,2,20,1,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,3,2,2,2,1,2,2,2,3,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,2,4,4,4,2,5,1,2,0,0
"Gambia, The","GMB",189691386,0.192867382144812,2,25,2,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,2,1,,0,1,4,3,4,4,4,5,1,1,0,0
