hh_id,survey_year,data_source,rural,agent_time_min,settlement
6201,2019,FinScope,0,5.0,24401
6231,2019,FinScope,0,15.0,24401
6249,2019,FinScope,0,25.5,24401
6275,2019,FinScope,0,,24401
6308,2019,FinScope,0,5.0,24401
6324,2019,FinScope,0,15.0,24401
6352,2019,FinScope,0,5.0,24401
6374,2019,FinScope,0,,24401
6401,2019,FinScope,0,,24401
6424,2019,FinScope,0,25.5,24401
6452,2019,FinScope,0,,24401
6475,2019,FinScope,0,25.5,24401
6501,2019,FinScope,0,5.0,24401
6524,2019,FinScope,0,,24401
6527,2019,FinScope,0,5.0,24401
6550,2019,FinScope,0,5.0,24401
6575,2019,FinScope,0,5.0,24401
6608,2019,FinScope,0,15.0,24401
6626,2019,FinScope,0,15.0,24501
6651,2019,FinScope,0,5.0,24501
6676,2019,FinScope,0,15.0,24501
6700,2019,FinScope,0,25.5,24501
6730,2019,FinScope,0,25.5,24501
6751,2019,FinScope,0,5.0,24501
6775,2019,FinScope,0,,24501
6803,2019,FinScope,0,,24501
6826,2019,FinScope,0,,24501
6866,2019,FinScope,0,,24501
6875,2019,FinScope,0,5.0,24501
6906,2019,FinScope,0,,24501
6926,2019,FinScope,0,15.0,24501
6953,2019,FinScope,0,5.0,24501
6975,2019,FinScope,0,,24501
7000,2019,FinScope,0,,24501
7026,2019,FinScope,0,25.5,24502
7054,2019,FinScope,0,5.0,24502
7076,2019,FinScope,0,25.5,24502
7109,2019,FinScope,0,15.0,24502
7125,2019,FinScope,0,,24502
7151,2019,FinScope,0,,24502
7175,2019,FinScope,0,,24502
7200,2019,FinScope,0,,24502
7226,2019,FinScope,0,,24502
7251,2019,FinScope,0,,24502
7275,2019,FinScope,0,,24502
7301,2019,FinScope,0,5.0,24502
7326,2019,FinScope,0,25.5,24502
7350,2019,FinScope,0,,24502
7351,2019,FinScope,0,,24502
7378,2019,FinScope,0,,24502
7403,2019,FinScope,0,,24502
7429,2019,FinScope,0,,24502
7452,2019,FinScope,0,,24502
7477,2019,FinScope,0,,24502
7520,2019,FinScope,0,,24502
7527,2019,FinScope,0,,24502
7551,2019,FinScope,0,15.0,24502
7576,2019,FinScope,0,,24502
7602,2019,FinScope,0,5.0,30202
7627,2019,FinScope,0,,30202
7654,2019,FinScope,0,45.5,30202
7677,2019,FinScope,0,45.5,30202
7704,2019,FinScope,0,,30202
7727,2019,FinScope,0,,30202
7753,2019,FinScope,0,5.0,30202
7777,2019,FinScope,0,5.0,30202
7801,2019,FinScope,0,45.5,30301
7832,2019,FinScope,0,45.5,30301
7856,2019,FinScope,0,,30301
7881,2019,FinScope,0,15.0,30301
7905,2019,FinScope,0,25.5,30301
7935,2019,FinScope,0,,30301
7951,2019,FinScope,0,,30301
7976,2019,FinScope,0,,30301
8002,2019,FinScope,0,25.5,30307
8026,2019,FinScope,0,90.0,30307
8059,2019,FinScope,0,45.5,30307
8078,2019,FinScope,0,25.5,30307
8119,2019,FinScope,0,,30307
8126,2019,FinScope,0,,30307
8167,2019,FinScope,0,,30307
8177,2019,FinScope,0,,30307
8206,2019,FinScope,0,25.5,30401
8234,2019,FinScope,0,25.5,30401
8254,2019,FinScope,0,45.5,30401
8281,2019,FinScope,0,45.5,30401
8307,2019,FinScope,0,,30401
8326,2019,FinScope,0,,30401
8351,2019,FinScope,0,,30401
8387,2019,FinScope,0,,30401
8401,2019,FinScope,0,5.0,30401
8427,2019,FinScope,0,5.0,30401
8451,2019,FinScope,0,,30401
8483,2019,FinScope,0,,30401
8509,2019,FinScope,0,45.5,30401
8528,2019,FinScope,0,,30401
8552,2019,FinScope,0,,30401
8577,2019,FinScope,0,,30401
8603,2019,FinScope,0,25.5,30502
8628,2019,FinScope,0,25.5,30502
8652,2019,FinScope,0,,30502
8677,2019,FinScope,0,15.0,30502
8703,2019,FinScope,0,,30502
8726,2019,FinScope,0,,30502
8751,2019,FinScope,0,,30502
8776,2019,FinScope,0,,30502
8801,2019,FinScope,0,45.5,30503
8826,2019,FinScope,0,45.5,30503
8854,2019,FinScope,0,25.5,30503
8877,2019,FinScope,0,15.0,30503
8901,2019,FinScope,0,15.0,30503
8929,2019,FinScope,0,,30503
8951,2019,FinScope,0,,30503
8976,2019,FinScope,0,,30503
9003,2019,FinScope,0,5.0,30605
9037,2019,FinScope,0,45.5,30605
9054,2019,FinScope,0,90.0,30605
9077,2019,FinScope,0,,30605
9102,2019,FinScope,0,,30605
9138,2019,FinScope,0,,30605
9151,2019,FinScope,0,,30605
9176,2019,FinScope,0,,30605
9201,2019,FinScope,0,45.5,30607
9228,2019,FinScope,0,45.5,30607
9252,2019,FinScope,0,15.0,30607
9276,2019,FinScope,0,,30607
9303,2019,FinScope,0,,30607
9327,2019,FinScope,0,,30607
9359,2019,FinScope,0,,30607
9377,2019,FinScope,0,15.0,30607
9404,2019,FinScope,1,45.5,30712
9429,2019,FinScope,1,45.5,30712
9460,2019,FinScope,1,45.5,30712
9478,2019,FinScope,1,,30712
9505,2019,FinScope,1,,30712
9526,2019,FinScope,1,45.5,30712
9552,2019,FinScope,1,45.5,30712
9577,2019,FinScope,1,15.0,30712
9601,2019,FinScope,0,25.5,30807
9629,2019,FinScope,0,,30807
9652,2019,FinScope,0,,30807
9678,2019,FinScope,0,25.5,30807
9702,2019,FinScope,0,45.5,30807
9726,2019,FinScope,0,,30807
9751,2019,FinScope,0,,30807
9778,2019,FinScope,0,,30807
9805,2019,FinScope,0,,30807
9839,2019,FinScope,0,5.0,30807
9854,2019,FinScope,0,,30807
9877,2019,FinScope,0,,30807
9904,2019,FinScope,0,45.5,30807
9929,2019,FinScope,0,,30807
9952,2019,FinScope,0,90.0,30807
9976,2019,FinScope,0,45.5,30807
10002,2019,FinScope,0,5.0,30817
10027,2019,FinScope,0,15.0,30817
10052,2019,FinScope,0,,30817
10080,2019,FinScope,0,,30817
10117,2019,FinScope,0,,30817
10126,2019,FinScope,0,,30817
10152,2019,FinScope,0,,30817
10178,2019,FinScope,0,,30817
10203,2019,FinScope,0,25.5,30818
10232,2019,FinScope,0,45.5,30818
10258,2019,FinScope,0,,30818
10277,2019,FinScope,0,90.0,30818
10309,2019,FinScope,0,15.0,30818
10327,2019,FinScope,0,,30818
10351,2019,FinScope,0,,30818
10381,2019,FinScope,0,,30818
10402,2019,FinScope,0,15.0,30902
10426,2019,FinScope,0,25.5,30902
10451,2019,FinScope,0,15.0,30902
10477,2019,FinScope,0,,30902
10507,2019,FinScope,0,5.0,30902
10528,2019,FinScope,0,,30902
10551,2019,FinScope,0,,30902
10577,2019,FinScope,0,,30902
10601,2019,FinScope,0,15.0,30902
10629,2019,FinScope,0,5.0,30902
10651,2019,FinScope,0,,30902
10677,2019,FinScope,0,,30902
10708,2019,FinScope,0,15.0,30902
10726,2019,FinScope,0,,30902
10751,2019,FinScope,0,,30902
10776,2019,FinScope,0,,30902
10806,2019,FinScope,0,25.5,30905
10826,2019,FinScope,0,,30905
10852,2019,FinScope,0,,30905
10876,2019,FinScope,0,,30905
10908,2019,FinScope,0,25.5,30905
10926,2019,FinScope,0,,30905
10951,2019,FinScope,0,,30905
10977,2019,FinScope,0,,30905
11006,2019,FinScope,0,5.0,31103
11027,2019,FinScope,0,5.0,31103
11060,2019,FinScope,0,,31103
11077,2019,FinScope,0,,31103
11107,2019,FinScope,0,,31103
11126,2019,FinScope,0,5.0,31103
11151,2019,FinScope,0,,31103
11176,2019,FinScope,0,,31103
11207,2019,FinScope,0,,31103
11227,2019,FinScope,0,,31103
11255,2019,FinScope,0,25.5,31103
11280,2019,FinScope,0,45.5,31103
11304,2019,FinScope,0,,31103
11326,2019,FinScope,0,5.0,31103
11352,2019,FinScope,0,5.0,31103
11384,2019,FinScope,0,,31103
11402,2019,FinScope,1,45.5,31207
11427,2019,FinScope,1,,31207
11451,2019,FinScope,1,,31207
11477,2019,FinScope,1,5.0,31207
11505,2019,FinScope,1,5.0,31207
11530,2019,FinScope,1,45.5,31207
11557,2019,FinScope,1,,31207
11576,2019,FinScope,1,5.0,31207
11601,2019,FinScope,1,25.5,31210
11627,2019,FinScope,1,45.5,31210
11660,2019,FinScope,1,,31210
11680,2019,FinScope,1,45.5,31210
11705,2019,FinScope,1,45.5,31210
11729,2019,FinScope,1,,31210
11751,2019,FinScope,1,,31210
11777,2019,FinScope,1,,31210
11803,2019,FinScope,1,,31211
11829,2019,FinScope,1,,31211
11853,2019,FinScope,1,90.0,31211
11878,2019,FinScope,1,,31211
11903,2019,FinScope,1,5.0,31211
11926,2019,FinScope,1,90.0,31211
11952,2019,FinScope,1,5.0,31211
11981,2019,FinScope,1,5.0,31211
12001,2019,FinScope,1,,31325
12034,2019,FinScope,1,,31325
12053,2019,FinScope,1,45.5,31325
12078,2019,FinScope,1,45.5,31325
12103,2019,FinScope,1,25.5,31325
12126,2019,FinScope,1,,31325
12152,2019,FinScope,1,25.5,31325
12181,2019,FinScope,1,45.5,31325
12201,2019,FinScope,0,,31336
12204,2019,FinScope,0,5.0,31336
12229,2019,FinScope,0,,31336
12256,2019,FinScope,0,5.0,31336
12278,2019,FinScope,0,,31336
12306,2019,FinScope,0,5.0,31336
12330,2019,FinScope,0,5.0,31336
12357,2019,FinScope,0,15.0,31336
12377,2019,FinScope,0,,31336
12402,2019,FinScope,0,,31339
12434,2019,FinScope,0,45.5,31339
12453,2019,FinScope,0,90.0,31339
12482,2019,FinScope,0,,31339
12504,2019,FinScope,0,25.5,31339
12532,2019,FinScope,0,45.5,31339
12554,2019,FinScope,0,,31339
12578,2019,FinScope,0,25.5,31339
12603,2019,FinScope,1,,31420
12627,2019,FinScope,1,,31420
12654,2019,FinScope,1,25.5,31420
12678,2019,FinScope,1,15.0,31420
12708,2019,FinScope,1,45.5,31420
12728,2019,FinScope,1,,31420
12753,2019,FinScope,1,,31420
12777,2019,FinScope,1,,31420
12802,2019,FinScope,0,5.0,31435
12828,2019,FinScope,0,,31435
12852,2019,FinScope,0,,31435
12912,2019,FinScope,0,5.0,31435
12921,2019,FinScope,0,,31435
12940,2019,FinScope,0,5.0,31435
12967,2019,FinScope,0,5.0,31435
12989,2019,FinScope,0,,31435
13018,2019,FinScope,0,,31435
13041,2019,FinScope,0,,31435
13064,2019,FinScope,0,45.5,31435
13090,2019,FinScope,0,,31435
13122,2019,FinScope,0,,31435
13139,2019,FinScope,0,,31435
13163,2019,FinScope,0,,31435
13189,2019,FinScope,0,5.0,31435
13214,2019,FinScope,0,25.5,31441
13252,2019,FinScope,0,15.0,31441
13264,2019,FinScope,0,25.5,31441
13291,2019,FinScope,0,15.0,31441
13318,2019,FinScope,0,15.0,31441
13338,2019,FinScope,0,,31441
13369,2019,FinScope,0,,31441
13396,2019,FinScope,0,,31441
13415,2019,FinScope,0,,31441
13439,2019,FinScope,0,,31441
13463,2019,FinScope,0,,31441
13488,2019,FinScope,0,15.0,31441
13514,2019,FinScope,0,15.0,31441
13540,2019,FinScope,0,45.5,31441
13571,2019,FinScope,0,,31441
13591,2019,FinScope,0,,31441
13620,2019,FinScope,1,90.0,32101
13639,2019,FinScope,1,45.5,32101
13664,2019,FinScope,1,25.5,32101
13692,2019,FinScope,1,45.5,32101
13720,2019,FinScope,1,90.0,32101
13738,2019,FinScope,1,,32101
13763,2019,FinScope,1,,32101
